(A) + (B);Produção da Equipe;[(A) + (B)] / (D);(E) + (F) + (G) + (H);BDI:23,01%;Preço Unitário Total
614,15;0,00;1,0000;0,00;682,02;156,93;
838,95;0,00;1,0000;0,00;878,52;202,14;
1.080,66;0,00;1,0000;0,00;387,26;89,10;
476,36;0,00;1,0000;0,00;485,51;111,71;
597,22;0,00;1,0000;0,00;583,76;134,32;
718,08;0,00;1,0000;0,00;784,09;180,41;
964,50;0,00;1,0000;0,00;1.006,14;231,51;
1.237,65;0,00;1,0000;0,00;562,03;129,32;
691,35;0,00;1,0000;0,00;673,06;154,87;
827,93;0,00;1,0000;0,00;96,67;22,24;
118,91;0,00;1,0000;0,00;63,10;14,51;
77,61;0,00;1,0000;0,00;145,71;33,52;
179,23;0,00;1,0000;0,00;116,06;26,70;
142,76;0,00;1,0000;0,00;175,50;40,38;
215,88;0,00;1,0000;0,00;580,47;133,56;
714,03;0,00;1,0000;0,00;553,74;127,41;
681,15;0,00;1,0000;0,00;1.516,51;348,94;
1.865,45;0,00;1,0000;0,00;1.176,09;270,61;
1.446,70;0,00;1,0000;0,00;89,66;20,63;
110,29;0,00;1,0000;0,00;11,61;2,67;
14,28;0,00;1,0000;0,00;7,90;1,81;
9,71;0,00;1,0000;0,00;12,19;2,80;
14,99;0,00;1,0000;0,00;10,43;2,39;
12,82;0,00;1,0000;0,00;14,04;3,23;
17,27;0,00;1,0000;0,00;8,68;1,99;
10,67;0,00;1,0000;0,00;9,76;2,24;
12,00;0,00;1,0000;0,00;9,49;2,18;
11,67;0,00;1,0000;0,00;8,36;1,92;
10,28;0,00;1,0000;0,00;11,30;2,60;
13,90;0,00;1,0000;0,00;58,36;13,42;
71,78;0,00;1,0000;0,00;124,02;28,53;
152,55;0,00;1,0000;0,00;123,67;28,45;
152,12;0,00;1,0000;0,00;215,53;49,59;
265,12;0,00;1,0000;0,00;268,70;61,82;
330,52;0,00;1,0000;0,00;23,15;5,32;
28,47;0,00;1,0000;0,00;42,57;9,79;
52,36;0,00;1,0000;0,00;73,83;16,98;
90,81;0,00;1,0000;0,00;81,86;18,83;
100,69;0,00;1,0000;0,00;115,67;26,61;
142,28;0,00;1,0000;0,00;95,56;21,98;
117,54;0,00;1,0000;0,00;91,97;21,16;
113,13;0,00;1,0000;0,00;105,38;24,24;
129,62;0,00;1,0000;0,00;99,19;22,82;
122,01;0,00;1,0000;0,00;51,98;11,96;
63,94;0,00;1,0000;0,00;51,98;11,96;
63,94;0,00;1,0000;0,00;105,47;24,26;
129,73;0,00;1,0000;0,00;105,47;24,26;
129,73;0,00;1,0000;0,00;122,41;28,16;
150,57;0,00;1,0000;0,00;163,65;37,65;
201,30;0,00;1,0000;0,00;163,65;37,65;
201,30;0,00;1,0000;0,00;208,29;47,92;
256,21;0,00;1,0000;0,00;243,61;56,05;
299,66;0,00;1,0000;0,00;245,75;56,54;
302,29;0,00;1,0000;0,00;353,01;81,22;
434,23;0,00;1,0000;0,00;357,23;82,19;
439,42;0,00;1,0000;0,00;359,37;82,69;
442,06;0,00;1,0000;0,00;562,61;129,45;
692,06;0,00;1,0000;0,00;666,08;153,26;
819,34;0,00;1,0000;0,00;668,22;153,75;
821,97;0,00;1,0000;0,00;808,65;186,07;
994,72;0,00;1,0000;0,00;1.503,43;345,93;
1.849,36;0,00;1,0000;0,00;292,86;67,38;
360,24;0,00;1,0000;0,00;55,79;12,83;
68,62;0,00;1,0000;0,00;89,19;20,52;
109,71;0,00;1,0000;0,00;171,39;39,43;
210,82;0,00;1,0000;0,00;274,18;63,08;
337,26;0,00;1,0000;0,00;27,54;6,33;
33,87;0,00;1,0000;0,00;30,31;6,97;
37,28;0,00;1,0000;0,00;42,38;9,75;
52,13;0,00;1,0000;0,00;1.985,41;456,84;
2.442,25;0,00;1,0000;0,00;286,28;65,87;
352,15;0,00;1,0000;0,00;2.820,88;649,08;
3.469,96;0,00;1,0000;0,00;5.539,74;1.274,69;
