
561;964,16;221,85;1.186,01;
563;1.256,23;289,05;1.545,28;
565;1.478,29;340,15;1.818,44;
567;1.034,18;237,96;1.272,14;
569;1.145,20;263,51;1.408,71;
570;185,34;42,64;227,98;
571;171,79;39,52;211,31;
572;253,33;58,29;311,62;
574;602,51;138,63;741,14;
576;788,70;181,47;970,17;
578;105,84;24,35;130,19;
580;134,59;30,96;165,55;
582;164,92;37,94;202,86;
584;318,45;73,27;391,72;
586;166,97;38,41;205,38;
588;217,46;50,03;267,49;
590;267,96;61,65;329,61;
592;398,09;91,60;489,69;
594;212,30;48,85;261,15;
596;186,46;42,90;229,36;
598;274,23;63,10;337,33;
600;336,17;77,35;413,52;
602;482,63;111,05;593,68;
604;261,51;60,17;321,68;
606;335,21;77,13;412,34;
608;353,64;81,37;435,01;
610;369,90;85,11;455,01;
612;390,50;89,85;480,35;
614;408,91;94,09;503,00;
616;427,35;98,33;525,68;
618;628,00;144,50;772,50;
620;327,65;75,39;403,04;
622;413,46;95,13;508,59;
624;499,27;114,88;614,15;
626;682,02;156,93;838,95;
628;878,52;202,14;1.080,66;
630;387,26;89,10;476,36;
632;485,51;111,71;597,22;
634;583,76;134,32;718,08;
636;784,09;180,41;964,50;
638;1.006,14;231,51;1.237,65;
640;562,03;129,32;691,35;
642;673,06;154,87;827,93;
644;96,67;22,24;118,91;
646;63,10;14,51;77,61;
647;145,71;33,52;179,23;
648;116,06;26,70;142,76;
650;175,50;40,38;215,88;
652;580,47;133,56;714,03;
654;553,74;127,41;681,15;
656;1.516,51;348,94;1.865,45;
658;1.176,09;270,61;1.446,70;
659;89,66;20,63;110,29;
660;11,61;2,67;14,28;
661;7,90;1,81;9,71;
662;12,19;2,80;14,99;
663;10,43;2,39;12,82;
664;14,04;3,23;17,27;
665;8,68;1,99;10,67;
666;9,76;2,24;12,00;
667;9,49;2,18;11,67;
668;8,36;1,92;10,28;
669;11,30;2,60;13,90;
670;58,36;13,42;71,78;
672;124,02;28,53;152,55;
674;123,67;28,45;152,12;
676;215,53;49,59;265,12;
678;268,70;61,82;330,52;
679;23,15;5,32;28,47;
680;42,57;9,79;52,36;
681;73,83;16,98;90,81;
682;81,86;18,83;100,69;
683;115,67;26,61;142,28;
684;95,56;21,98;117,54;
685;91,97;21,16;113,13;
686;105,38;24,24;129,62;
687;99,19;22,82;122,01;
688;51,98;11,96;63,94;
689;51,98;11,96;63,94;
690;105,47;24,26;129,73;
691;105,47;24,26;129,73;
692;122,41;28,16;150,57;
